,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
Noradrenaline-NE-DBH_SLC18A1_ADRA2A,Noradrenaline-NE-DBH_SLC18A1_ADRA2A,Noradrenaline,NE-DBH_SLC18A1,ADRA2A,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRA2A,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2A,G-protein coupled receptor 1,Cell membrane,"Membrane, Disulfide bond, Transmembrane, Receptor, Methylation, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A1_ADRA2B,Noradrenaline-NE-DBH_SLC18A1_ADRA2B,Noradrenaline,NE-DBH_SLC18A1,ADRA2B,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRA2B,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2B,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Epilepsy, Transmembrane helix, Disulfide bond, Cell membrane, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A1_ADRA2C,Noradrenaline-NE-DBH_SLC18A1_ADRA2C,Noradrenaline,NE-DBH_SLC18A1,ADRA2C,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRA2C,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2C,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A1_ADRB1,Noradrenaline-NE-DBH_SLC18A1_ADRB1,Noradrenaline,NE-DBH_SLC18A1,ADRB1,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRB1,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB1,G-protein coupled receptor 1,"Early endosome, Cell membrane","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate, Endosome, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A1_ADRB2,Noradrenaline-NE-DBH_SLC18A1_ADRB2,Noradrenaline,NE-DBH_SLC18A1,ADRB2,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRB2,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB2,G-protein coupled receptor 1,"Golgi apparatus, Early endosome, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, Golgi apparatus, G-protein coupled receptor, 3D-structure, Hydroxylation, Palmitate, Endosome, Ubl conjugation",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A1_ADRB3,Noradrenaline-NE-DBH_SLC18A1_ADRB3,Noradrenaline,NE-DBH_SLC18A1,ADRB3,,,,,Non-protein Signaling,NE-(DBH+SLC18A1) - ADRB3,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A1, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Endoplasmic reticulum membrane, Synaptic vesicle membrane, Cytoplasmic vesicle, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Membrane, Reference proteome, Transmembrane helix, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Synapse, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Catecholamine biosynthesis, Monooxygenase, Disulfide bond, Secreted, Signal-anchor, Copper, Vitamin C, Disease variant, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB3,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Diabetes mellitus, Obesity, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA1A,Noradrenaline-NE-DBH_SLC18A2_ADRA1A,Noradrenaline,NE-DBH_SLC18A2,ADRA1A,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA1A,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA1A,G-protein coupled receptor 1,"Cytoplasm, Membrane, Cell membrane, Caveola, Nucleus membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Cytoplasm, Alternative splicing, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Nucleus, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA1B,Noradrenaline-NE-DBH_SLC18A2_ADRA1B,Noradrenaline,NE-DBH_SLC18A2,ADRA1B,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA1B,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA1B,G-protein coupled receptor 1,"Cytoplasm, Membrane, Cell membrane, Caveola, Nucleus membrane","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Nucleus, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Cytoplasm, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA1D,Noradrenaline-NE-DBH_SLC18A2_ADRA1D,Noradrenaline,NE-DBH_SLC18A2,ADRA1D,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA1D,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA1D,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA2A,Noradrenaline-NE-DBH_SLC18A2_ADRA2A,Noradrenaline,NE-DBH_SLC18A2,ADRA2A,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA2A,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2A,G-protein coupled receptor 1,Cell membrane,"Membrane, Disulfide bond, Transmembrane, Receptor, Methylation, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA2B,Noradrenaline-NE-DBH_SLC18A2_ADRA2B,Noradrenaline,NE-DBH_SLC18A2,ADRA2B,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA2B,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2B,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Epilepsy, Transmembrane helix, Disulfide bond, Cell membrane, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRA2C,Noradrenaline-NE-DBH_SLC18A2_ADRA2C,Noradrenaline,NE-DBH_SLC18A2,ADRA2C,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRA2C,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRA2C,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRB1,Noradrenaline-NE-DBH_SLC18A2_ADRB1,Noradrenaline,NE-DBH_SLC18A2,ADRB1,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRB1,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB1,G-protein coupled receptor 1,"Early endosome, Cell membrane","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate, Endosome, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRB2,Noradrenaline-NE-DBH_SLC18A2_ADRB2,Noradrenaline,NE-DBH_SLC18A2,ADRB2,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRB2,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB2,G-protein coupled receptor 1,"Golgi apparatus, Early endosome, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, Golgi apparatus, G-protein coupled receptor, 3D-structure, Hydroxylation, Palmitate, Endosome, Ubl conjugation",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC18A2_ADRB3,Noradrenaline-NE-DBH_SLC18A2_ADRB3,Noradrenaline,NE-DBH_SLC18A2,ADRB3,,,,,Non-protein Signaling,NE-(DBH+SLC18A2) - ADRB3,PMID: 29733063_HMRbase;reactome,TRUE,"SLC18A2, DBH","Major facilitator superfamily, Vesicular transporter, Copper type II ascorbate-dependent monooxygenase","Synaptic vesicle membrane, Cell projection, Axon, Cytoplasmic vesicle, Dendrite, Secretory vesicle, Secretory vesicle membrane, Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane","Dystonia, Membrane, Disulfide bond, Transmembrane, Parkinsonism, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Disease variant, Cell projection, Reference proteome, Transmembrane helix, Phosphoprotein, Transport, Synapse, Neurotransmitter transport, Catecholamine biosynthesis, Monooxygenase, Secreted, Signal-anchor, Copper, Vitamin C, Oxidoreductase, Metal-binding, Direct protein sequencing, 3D-structure",secreted,FALSE,ADRB3,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Diabetes mellitus, Obesity, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC6A2_ADRA1A,Noradrenaline-NE-DBH_SLC6A2_ADRA1A,Noradrenaline,NE-DBH_SLC6A2,ADRA1A,,,,,Non-protein Signaling,NE-(DBH+SLC6A2) - ADRA1A,PMID: 29733063_HMRbase;reactome,TRUE,"DBH, SLC6A2","Copper type II ascorbate-dependent monooxygenase, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane, Cytoplasmic vesicle, Secretory vesicle membrane, Secretory vesicle, Cell membrane","Catecholamine biosynthesis, Membrane, Monooxygenase, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Copper, Cytoplasmic vesicle, Vitamin C, Glycoprotein, Disease variant, Oxidoreductase, Reference proteome, Metal-binding, Transmembrane helix, Direct protein sequencing, 3D-structure, Sodium, Cell membrane, Transport, Alternative splicing, Neurotransmitter transport, Symport",secreted,FALSE,ADRA1A,G-protein coupled receptor 1,"Cytoplasm, Membrane, Cell membrane, Caveola, Nucleus membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Cytoplasm, Alternative splicing, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Nucleus, Transmembrane helix, Phosphoprotein, G-protein coupled receptor, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC6A2_ADRA1B,Noradrenaline-NE-DBH_SLC6A2_ADRA1B,Noradrenaline,NE-DBH_SLC6A2,ADRA1B,,,,,Non-protein Signaling,NE-(DBH+SLC6A2) - ADRA1B,PMID: 29733063_HMRbase;reactome,TRUE,"DBH, SLC6A2","Copper type II ascorbate-dependent monooxygenase, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane, Cytoplasmic vesicle, Secretory vesicle membrane, Secretory vesicle, Cell membrane","Catecholamine biosynthesis, Membrane, Monooxygenase, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Copper, Cytoplasmic vesicle, Vitamin C, Glycoprotein, Disease variant, Oxidoreductase, Reference proteome, Metal-binding, Transmembrane helix, Direct protein sequencing, 3D-structure, Sodium, Cell membrane, Transport, Alternative splicing, Neurotransmitter transport, Symport",secreted,FALSE,ADRA1B,G-protein coupled receptor 1,"Cytoplasm, Membrane, Cell membrane, Caveola, Nucleus membrane","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Nucleus, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Cytoplasm, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC6A2_ADRA1D,Noradrenaline-NE-DBH_SLC6A2_ADRA1D,Noradrenaline,NE-DBH_SLC6A2,ADRA1D,,,,,Non-protein Signaling,NE-(DBH+SLC6A2) - ADRA1D,PMID: 29733063_HMRbase;reactome,TRUE,"DBH, SLC6A2","Copper type II ascorbate-dependent monooxygenase, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane, Cytoplasmic vesicle, Secretory vesicle membrane, Secretory vesicle, Cell membrane","Catecholamine biosynthesis, Membrane, Monooxygenase, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Copper, Cytoplasmic vesicle, Vitamin C, Glycoprotein, Disease variant, Oxidoreductase, Reference proteome, Metal-binding, Transmembrane helix, Direct protein sequencing, 3D-structure, Sodium, Cell membrane, Transport, Alternative splicing, Neurotransmitter transport, Symport",secreted,FALSE,ADRA1D,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC6A2_ADRA2A,Noradrenaline-NE-DBH_SLC6A2_ADRA2A,Noradrenaline,NE-DBH_SLC6A2,ADRA2A,,,,,Non-protein Signaling,NE-(DBH+SLC6A2) - ADRA2A,PMID: 29733063_HMRbase;reactome,TRUE,"DBH, SLC6A2","Copper type II ascorbate-dependent monooxygenase, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane, Cytoplasmic vesicle, Secretory vesicle membrane, Secretory vesicle, Cell membrane","Catecholamine biosynthesis, Membrane, Monooxygenase, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Copper, Cytoplasmic vesicle, Vitamin C, Glycoprotein, Disease variant, Oxidoreductase, Reference proteome, Metal-binding, Transmembrane helix, Direct protein sequencing, 3D-structure, Sodium, Cell membrane, Transport, Alternative splicing, Neurotransmitter transport, Symport",secreted,FALSE,ADRA2A,G-protein coupled receptor 1,Cell membrane,"Membrane, Disulfide bond, Transmembrane, Receptor, Methylation, Glycoprotein, Transducer, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
Noradrenaline-NE-DBH_SLC6A2_ADRA2B,Noradrenaline-NE-DBH_SLC6A2_ADRA2B,Noradrenaline,NE-DBH_SLC6A2,ADRA2B,,,,,Non-protein Signaling,NE-(DBH+SLC6A2) - ADRA2B,PMID: 29733063_HMRbase;reactome,TRUE,"DBH, SLC6A2","Copper type II ascorbate-dependent monooxygenase, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Chromaffin granule lumen, Secreted, Secretory vesicle lumen, Chromaffin granule membrane, Cytoplasmic vesicle, Secretory vesicle membrane, Secretory vesicle, Cell membrane","Catecholamine biosynthesis, Membrane, Monooxygenase, Disulfide bond, Secreted, Transmembrane, Signal-anchor, Copper, Cytoplasmic vesicle, Vitamin C, Glycoprotein, Disease variant, Oxidoreductase, Reference proteome, Metal-binding, Transmembrane helix, Direct protein sequencing, 3D-structure, Sodium, Cell membrane, Transport, Alternative splicing, Neurotransmitter transport, Symport",secreted,FALSE,ADRA2B,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Lipoprotein, Epilepsy, Transmembrane helix, Disulfide bond, Cell membrane, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Palmitate",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
